,x,y
0,103.8437889,1.3137038
1,103.8446791521564,1.3138328995490236
2,103.84293601796784,1.3136435094602499
3,103.8450173,1.3138849
4,103.8452335,1.3139655
5,103.8408272,1.3146325
6,103.84114530049385,1.3137910561983357
7,103.8413209,1.3134
8,103.8413425,1.3131866
9,103.8416134,1.3134373
10,103.8372105,1.3146136
11,103.8373462,1.3147575
12,103.8368199,1.3142593
13,103.8428454,1.2916332
14,103.84267691673182,1.2917194433162766
15,103.8425602,1.2917792
16,103.8423698,1.2918858
17,103.8422129,1.2919719
18,103.8420706,1.2917111
19,103.84206398414645,1.2920642696464497
20,103.84195883611905,1.291513389778688
21,103.8396014,1.2912733
22,103.8397009,1.2913369
23,103.83971962493196,1.29134878966268
24,103.8383787,1.2902285
25,103.8385409,1.2905953
26,103.83867348949146,1.291059458543463
27,103.8386141,1.2907508
28,103.843357,1.2895812
29,103.8436463,1.2900095
30,103.84359825019811,1.2894233158883623
31,103.8421957,1.2901454
32,103.8423963,1.2900359
33,103.8426545,1.2898783
34,103.8447163,1.2885069
35,103.8451392,1.2884111
36,103.8448875,1.2883216
37,103.8450224567236,1.2882606657109463
38,103.8379471,1.2978202
39,103.8378999,1.2979869
40,103.8378605,1.2981141
41,103.8358215,1.3000671
42,103.8355448,1.3001582
43,103.83582139390998,1.300066664472586
44,103.8381017,1.2995273
45,103.83798112773428,1.2995529227422253
46,103.837969,1.2995555
47,103.837884,1.2995755
48,103.8546846,1.2940156
49,103.8549176,1.2944082
50,103.8550165,1.2945652
51,103.8653665,1.3035706
52,103.86473275534314,1.3030510003574631
53,103.86467037345659,1.303001385413079
54,103.86401589251119,1.302517815049688
55,103.86394539085552,1.302469970953928
56,103.8634323,1.3021339
57,103.86326501709605,1.3020283006634275
58,103.848755,1.2909524
59,103.8489707,1.2910001
60,103.84968552653413,1.2904540558449344
61,103.8494791,1.2894129
62,103.8494374,1.2894382
63,103.8494265,1.2893411
64,103.8493199,1.2895091
65,103.8504264,1.2898695
66,103.85044142522476,1.2898571097523097
67,103.85043668041132,1.2898298001137087
68,103.8505704093265,1.2897505005150744
69,103.8506924,1.289648
70,103.8507538448087,1.2895988997120655
71,103.85076070014419,1.289672276893388
72,103.8516767,1.2912995
73,103.85194067692326,1.291233302526759
74,103.85115789388928,1.2916584628381123
75,103.8524169,1.2910386
76,103.8519577,1.2913277
77,103.8525268,1.2910839
78,103.8523473,1.2917393
79,103.849313,1.2926492
80,103.8490372,1.2927936
81,103.8490585,1.2927049
82,103.8489715,1.2928389
83,103.8515443,1.2910434
84,103.85164162308672,1.2912323436488027
85,103.85164886320669,1.2912463996629728
86,103.8512374,1.2892436
87,103.85142379430181,1.2892383767386746
88,103.8515745,1.2893739
89,103.8516524,1.289514
90,103.8517392,1.2896701
91,103.85202991204261,1.290192809816491
92,103.8521764320344,1.2904562575819316
93,103.8524294,1.2909086
94,103.853919,1.2927189
95,103.8542842,1.2932583
96,103.8541541,1.2933341
97,103.8543721,1.2934069
98,103.8532702,1.2976486
99,103.853387,1.2975597
100,103.8534731,1.2974976
101,103.8557186,1.2954802
102,103.8555004,1.2954256
103,103.85525665096823,1.2947129227277216
104,103.8558729,1.2959611
105,103.8551873,1.2956449
106,103.8560434,1.298445
107,103.8565163,1.2979181
108,103.8565565,1.2978728
109,103.8567737,1.2984338
110,103.8565246,1.2987023
111,103.8563542,1.2988944
112,103.8606524,1.2937867
113,103.86087882559157,1.2931213046143406
114,103.8606045,1.2937226
115,103.86088884855005,1.292946023928524
116,103.860903,1.2926215
117,103.86091333485349,1.292223608140549
118,103.8558094,1.2906663
119,103.8558124,1.2911075
120,103.8558855,1.2912979
121,103.8572319,1.2923557
122,103.8576639,1.2927167
123,103.8577737,1.2928992
124,103.8576402,1.2928383
125,103.8600916,1.2959897
126,103.8596109,1.2959128
127,103.859441,1.2955969
128,103.8589781,1.2951475
129,103.8593513,1.2956483
130,103.8592096558067,1.2950158303687114
131,103.8595264,1.2959613
132,103.8562455,1.3028102
133,103.85613814861276,1.3026968006472845
134,103.8561021,1.3026577
135,103.8556,1.3020879
136,103.8550551,1.3014485
137,103.854815,1.301176
138,103.8550604,1.3009157
139,103.8547271,1.3010731
140,103.8522895,1.299681
141,103.852085,1.2994261
142,103.85234,1.2998005
143,103.8520399,1.299371
144,103.8549083,1.3032131
145,103.85530756203825,1.3033572988135778
146,103.85574162621842,1.3035499844049574
147,103.8559576,1.3036743
148,103.85604998846048,1.303761537001541
149,103.8558099,1.3046683
150,103.8557258,1.3047107
151,103.8559377,1.3045392
152,103.8557687,1.3047593
153,103.8556975,1.3047394
154,103.8597005,1.3058902
155,103.8597891,1.3057795
156,103.8599022,1.3056142
157,103.8599547,1.3057958
158,103.8348361,1.3004088
159,103.8350896,1.3008723
160,103.8351678234668,1.3010197932271184
161,103.8262063,1.3034487
162,103.8261156,1.3036557
163,103.82608791262611,1.3037229756558695
164,103.8282522,1.3061047
165,103.8283166,1.3065113
166,103.8283311,1.3066678
167,103.8491306,1.2888241
168,103.849129,1.288733
169,103.8461028,1.2836322
170,103.8458432,1.283202
171,103.8455454,1.2833879
172,103.8456761,1.2828912
173,103.8524973,1.2883785
174,103.8525899,1.2876815
175,103.85241434247017,1.287891165940165
176,103.8527898,1.2875108
177,103.8538728,1.286314
178,103.8537113,1.2863939
179,103.8532395,1.2871317
180,103.8637562,1.2721737
181,103.863738,1.2723751
182,103.8633705,1.2726719
183,103.8470143,1.2770557
184,103.84700888689967,1.2772375872234312
185,103.8471533494432,1.2769159866099282
186,103.847061,1.2776068
187,103.8471871,1.277858
188,103.8469371,1.2781601
189,103.8468822,1.2783808
190,103.8472648,1.2779786
191,103.8468777,1.2784806
192,103.8468776,1.2770151
193,103.84669906253076,1.2769757299502722
194,103.8467147,1.2771983
195,103.84617352781108,1.2771671153449864
196,103.8461436,1.2772761
